Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	
HA	KC892181	No	4	1701	H3N2	04/04/2012	IRD:Human	USA	Alabama	11-12	A/Alabama/08/2012	
HA	KT839381	Yes	4	1701	H3N2	11/05/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/08/2014	
HA	KT839293	Yes	4	1701	H3N2	11/05/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/09/2014	
HA	KT838698	Yes	4	1701	H3N2	11/05/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/09/2014	
HA	KC882574	No	4	1701	H3N2	11/07/2010	IRD:Human	USA	Alabama	10-11	A/Alabama/10/2010	
HA	KT839990	Yes	4	1701	H3N2	12/04/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/10/2014	
HA	KT839906	Yes	4	1701	H3N2	12/08/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/11/2014	
HA	KT839852	Yes	4	1701	H3N2	12/09/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/12/2014	
HA	KC882465	No	4	1701	H3N2	12/16/2010	IRD:Human	USA	Alabama	10-11	A/Alabama/13/2010	
HA	KF789662	No	4	1701	H3N2	09/05/2012	IRD:Human	USA	Alabama	-N/A-	A/Alabama/17/2012	
HA	KF790114	No	4	1701	H3N2	09/05/2012	IRD:Human	USA	Alabama	-N/A-	A/Alabama/17/2012	
HA	KF790257	No	4	1701	H3N2	10/29/2012	IRD:Human	USA	Alabama	12-13	A/Alabama/18/2012	
HA	KF789597	No	4	1701	H3N2	11/19/2012	IRD:Human	USA	Alabama	12-13	A/Alabama/24/2012	
HA	CY134657	No	4	1701	H3N2	12/11/2012	IRD:Human	USA	Alabama	12-13	A/Alabama/3101/2012	
HA	CY134658	No	4	1701	H3N2	12/11/2012	IRD:Human	USA	Alabama	12-13	A/Alabama/3102/2012	
HA	CY141176	No	4	1701	H3N2	12/20/2012	IRD:Human	USA	Alabama	12-13	A/Alabama/3161/2012	
HA	CY141178	No	4	1701	H3N2	01/16/2013	IRD:Human	USA	Alabama	12-13	A/Alabama/3163/2013	
HA	CY141179	No	4	1701	H3N2	12/14/2012	IRD:Human	USA	Alabama	12-13	A/Alabama/3164/2012	
HA	KF789912	No	4	1701	H3N2	12/18/2012	IRD:Human	USA	Alabama	12-13	A/Alabama/35/2012	
HA	CY187637	No	4	1701	H3N2	03/24/2014	IRD:Human	USA	Alabama	13-14	A/Alabama/3719/2014	
HA	CY193259	No	4	1701	H3N2	10/21/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4006/2014	
HA	CY193260	No	4	1701	H3N2	10/23/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4007/2014	
HA	CY193276	No	4	1701	H3N2	11/12/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4023/2014	
HA	CY193277	No	4	1701	H3N2	11/19/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4024/2014	
HA	CY193278	No	4	1701	H3N2	11/24/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4025/2014	
HA	CY193279	No	4	1701	H3N2	11/25/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4026/2014	
HA	CY193280	No	4	1701	H3N2	12/01/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4027/2014	
HA	CY193358	No	4	1701	H3N2	12/22/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4105/2014	
HA	CY193359	No	4	1701	H3N2	11/24/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4106/2014	
HA	CY193360	No	4	1701	H3N2	11/24/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4107/2014	
HA	CY193478	No	4	1701	H3N2	12/17/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4225/2014	
HA	CY193479	No	4	1701	H3N2	12/16/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4226/2014	
HA	CY193480	No	4	1701	H3N2	12/23/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4227/2014	
HA	CY193861	No	4	1701	H3N2	12/15/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/4608/2014	
HA	CY084299	No	4	1710	H3N2	12/16/2010	IRD:Human	USA	Alabama	10-11	A/Alabama/AF2692/2010	
HA	CY026035	Yes	4	1721	H3N2	03/01/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0482/2007	
HA	CY025859	Yes	4	1721	H3N2	03/07/2007	IRD:Human	USA	Alabama	06-07	A/Alabama/UR06-0545/2007	
HA	CY093263	Yes	4	1731	H3N2	02/01/2009	IRD:Human	USA	Alabama	08-09	A/Alabama/WRAIR1242P/2009(H3N2)	
HA	KC882748	No	4	1701	H3N2	01/14/2011	IRD:Human	USA	Alaska	10-11	A/Alaska/01/2011	
HA	KF789947	No	4	1701	H3N2	03/06/2013	IRD:Human	USA	Alaska	12-13	A/Alaska/01/2013	
HA	KM064051	No	4	1701	H3N2	01/19/2014	IRD:Human	USA	Alaska	13-14	A/Alaska/01/2014	
HA	KC535500	No	4	1701	H3N2	07/22/2010	IRD:Human	USA	Alaska	-N/A-	A/Alaska/02/2010	
HA	KC892853	No	4	1701	H3N2	03/06/2012	IRD:Human	USA	Alaska	11-12	A/Alaska/02/2012	
HA	KF790212	Yes	4	1701	H3N2	02/20/2013	IRD:Human	USA	Alaska	12-13	A/Alaska/02/2013	
HA	KF790407	Yes	4	1701	H3N2	02/20/2013	IRD:Human	USA	Alaska	12-13	A/Alaska/02/2013	
HA	KC535486	No	4	1701	H3N2	08/06/2010	IRD:Human	USA	Alaska	-N/A-	A/Alaska/03/2010	
HA	KC892629	No	4	1701	H3N2	01/13/2012	IRD:Human	USA	Alaska	11-12	A/Alaska/03/2012	
HA	KF790118	No	4	1701	H3N2	04/05/2013	IRD:Human	USA	Alaska	12-13	A/Alaska/03/2013	
HA	FJ532066	No	4	1701	H3N2	08/09/2008	IRD:Human	USA	Alaska	-N/A-	A/Alaska/04/2008	
HA	KC882754	No	4	1701	H3N2	09/01/2010	IRD:Human	USA	Alaska	-N/A-	A/Alaska/04/2010	
HA	KF790088	No	4	1701	H3N2	05/14/2012	IRD:Human	USA	Alaska	11-12	A/Alaska/04/2012	
HA	KC892601	No	4	1701	H3N2	05/14/2012	IRD:Human	USA	Alaska	11-12	A/Alaska/04/2012	
HA	KF790391	No	4	1701	H3N2	04/24/2013	IRD:Human	USA	Alaska	12-13	A/Alaska/04/2013	
HA	EU516052	No	4	1701	H3N2	03/20/2007	IRD:Human	USA	Alaska	06-07	A/Alaska/05/2007	
HA	KC882787	No	4	1701	H3N2	12/08/2010	IRD:Human	USA	Alaska	10-11	A/Alaska/05/2010	
HA	KC882453	No	4	1701	H3N2	12/08/2010	IRD:Human	USA	Alaska	10-11	A/Alaska/05/2010	
HA	KF790378	No	4	1701	H3N2	04/23/2013	IRD:Human	USA	Alaska	12-13	A/Alaska/05/2013	
HA	KM064125	No	4	1701	H3N2	03/15/2014	IRD:Human	USA	Alaska	13-14	A/Alaska/05/2014	
HA	EU199374	No	4	1701	H3N2	03/08/2007	IRD:Human	USA	Alaska	06-07	A/Alaska/06/2007	
HA	KF789569	No	4	1701	H3N2	05/21/2013	IRD:Human	USA	Alaska	12-13	A/Alaska/06/2013	
HA	KM852927	No	4	1701	H3N2	04/17/2014	IRD:Human	USA	Alaska	13-14	A/Alaska/06/2014	
HA	KM064109	No	4	1701	H3N2	04/17/2014	IRD:Human	USA	Alaska	13-14	A/Alaska/06/2014	
HA	KC883393	No	4	1701	H3N2	02/04/2011	IRD:Human	USA	Alaska	10-11	A/Alaska/10/2011	
HA	KC883090	No	4	1701	H3N2	04/12/2011	IRD:Human	USA	Alaska	10-11	A/Alaska/13/2011	
HA	KM064187	No	4	1701	H3N2	09/23/2013	IRD:Human	USA	Alaska	-N/A-	A/Alaska/14/2013	
HA	KC883402	Yes	4	1701	H3N2	03/01/2011	IRD:Human	USA	Alaska	10-11	A/Alaska/15/2011	
HA	KC883438	No	4	1701	H3N2	03/24/2011	IRD:Human	USA	Alaska	10-11	A/Alaska/16/2011	
HA	KC892536	No	4	1701	H3N2	07/13/2012	IRD:Human	USA	Alaska	-N/A-	A/Alaska/16/2012	
HA	KC892914	No	4	1701	H3N2	09/16/2011	IRD:Human	USA	Alaska	-N/A-	A/Alaska/17/2011	
HA	KC892420	No	4	1701	H3N2	11/27/2011	IRD:Human	USA	Alaska	11-12	A/Alaska/21/2011	
HA	KC892668	No	4	1701	H3N2	08/01/2012	IRD:Human	USA	Alaska	-N/A-	A/Alaska/21/2012	
HA	KT889133	Yes	4	1701	H3N2	01/29/2012	IRD:Human	USA	Alaska	11-12	A/Alaska/21usafsam/2012	
HA	KF790196	No	4	1701	H3N2	10/01/2012	IRD:Human	USA	Alaska	12-13	A/Alaska/22/2012	
HA	KF790216	No	4	1701	H3N2	10/01/2012	IRD:Human	USA	Alaska	12-13	A/Alaska/22/2012	
HA	KF790195	No	4	1701	H3N2	10/05/2012	IRD:Human	USA	Alaska	12-13	A/Alaska/23/2012	
HA	KF790184	No	4	1701	H3N2	10/05/2012	IRD:Human	USA	Alaska	12-13	A/Alaska/23/2012	
HA	KC535312	No	4	1701	H3N2	04/03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/24/2009	
HA	KF790255	No	4	1701	H3N2	10/14/2012	IRD:Human	USA	Alaska	12-13	A/Alaska/24/2012	
HA	KF790238	No	4	1701	H3N2	10/14/2012	IRD:Human	USA	Alaska	12-13	A/Alaska/24/2012	
HA	KM852977	No	4	1701	H3N2	05/22/2014	IRD:Human	USA	Alaska	13-14	A/Alaska/26/2014	
HA	KT889139	Yes	4	1701	H3N2	03/06/2012	IRD:Human	USA	Alaska	11-12	A/Alaska/27/2012	
HA	KM852975	No	4	1701	H3N2	05/13/2014	IRD:Human	USA	Alaska	13-14	A/Alaska/27/2014	
HA	KC535315	No	4	1701	H3N2	04/15/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/29/2009	
HA	KM852961	No	4	1701	H3N2	07/18/2014	IRD:Human	USA	Alaska	-N/A-	A/Alaska/29/2014	
HA	KF789796	No	4	1701	H3N2	12/07/2012	IRD:Human	USA	Alaska	12-13	A/Alaska/31/2012	
HA	CY134659	No	4	1701	H3N2	11/15/2012	IRD:Human	USA	Alaska	12-13	A/Alaska/3103/2012	
HA	KM852877	No	4	1701	H3N2	07/05/2014	IRD:Human	USA	Alaska	-N/A-	A/Alaska/34/2014	
HA	CY147301	No	4	1701	H3N2	03/11/2013	IRD:Human	USA	Alaska	12-13	A/Alaska/3409/2013	
HA	KR057536	No	4	1701	H3N2	06/19/2014	IRD:Human	USA	Alaska	-N/A-	A/Alaska/35/2014	
HA	KT837123	Yes	4	1701	H3N2	09/08/2014	IRD:Human	USA	Alaska	-N/A-	A/Alaska/40/2014	
HA	CY193261	No	4	1701	H3N2	10/17/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/4008/2014	
HA	CY193262	No	4	1701	H3N2	11/04/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/4009/2014	
HA	CY193281	No	4	1701	H3N2	11/03/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/4028/2014	
HA	CY193282	No	4	1701	H3N2	11/04/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/4029/2014	
HA	CY193283	No	4	1701	H3N2	11/05/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/4030/2014	
HA	CY193284	No	4	1701	H3N2	11/18/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/4031/2014	
HA	CY193285	No	4	1701	H3N2	11/24/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/4032/2014	
HA	CY193361	No	4	1701	H3N2	12/01/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/4108/2014	
HA	KY090278	No	4	1701	H3N2	10/03/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/45/2014	
HA	KT837754	Yes	4	1701	H3N2	10/04/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/46/2014	
HA	KT837722	Yes	4	1701	H3N2	10/05/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/47/2014	
HA	KY089628	No	4	1701	H3N2	10/10/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/49/2014	
HA	KY089597	No	4	1701	H3N2	10/15/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/50/2014	
HA	KY089893	No	4	1701	H3N2	09/04/2014	IRD:Human	USA	Alaska	-N/A-	A/Alaska/51/2014	
HA	KT837132	Yes	4	1701	H3N2	09/03/2014	IRD:Human	USA	Alaska	-N/A-	A/Alaska/52/2014	
HA	KY089131	No	4	1701	H3N2	10/30/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/53/2014	
HA	KY089168	No	4	1701	H3N2	11/01/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/54/2014	
HA	KY090362	No	4	1701	H3N2	11/18/2014	IRD:Human	USA	Alaska	14-15	A/Alaska/59/2014	
HA	CY069461	No	4	1729	H3N2	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1145P/2009(H3N2)	
HA	CY069493	No	4	1729	H3N2	03/2009	IRD:Human	USA	Alaska	08-09	A/Alaska/WRAIR1172P/2009(H3N2)	
HA	KC865653	No	4	1726	H3N2	01/24/2012	IRD:Human	Iran	-N/A-	-N/A-	A/Alborz/1095/2012	
HA	KC865611	No	4	1726	H3N2	01/09/2012	IRD:Human	Iran	-N/A-	-N/A-	A/Alborz/609/2012	
HA	KY328783	No	4	1701	H3N2	10/16/2014	IRD:Human	Iran	-N/A-	-N/A-	A/Alborz/72205/2014	
HA	KC865637	No	4	1726	H3N2	01/18/2012	IRD:Human	Iran	-N/A-	-N/A-	A/Alborz/927/2012	
HA	KY925323	Yes	4	1762	H3N2	07/18/2014	IRD:Human	Brazil	-N/A-	-N/A-	A/Alegrete/LACENRS-1624/2014	
HA	CY129062	Yes	4	1740	H3N2	09/24/2007	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/New Brunswick/02650/2007(H3N2)	
HA	CY129213	Yes	4	1740	H3N2	09/24/2007	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/New Brunswick/02651/2007(H3N2)	
HA	CY144571	Yes	4	1740	H3N2	12/22/2004	IRD:American Black Duck/Avian	USA	North Carolina	04-05	A/American black duck/North Carolina/1321373/2004	
HA	GU051135	No	4	1740	H3N2	2004	IRD:American Black Duck/Avian	USA	North Carolina	-N/A-	A/American black duck/North Carolina/675-075/2004	
HA	CY047648	No	4	1732	H3N2	08/24/2006	IRD:American Black Duck/Avian	Canada	-N/A-	-N/A-	A/American black duck/Quebec/11235/2006(H3N2)	
HA	KJ568257	Yes	4	1732	H3N2	09/14/2013	IRD:American Green-Winged Teal/Avian	USA	Ohio	-N/A-	A/American green-winged teal/Ohio/13OS1778/2013	
HA	KJ568281	Yes	4	1732	H3N2	09/08/2013	IRD:American Green-Winged Teal/Avian	USA	Ohio	-N/A-	A/American green-winged teal/Ohio/13OS1867/2013(H3N2)	
HA	KJ568065	Yes	4	1732	H3N2	09/21/2013	IRD:American Green-Winged Teal/Avian	USA	Ohio	-N/A-	A/American green-winged teal/Ohio/13OS2056/2013	
HA	CY079428	Yes	4	1732	H3N2	10/20/2008	IRD:Green-Winged Teal/Avian	USA	Wisconsin	08-09	A/American green-winged teal/Wisconsin/08OS2291/2008(H3N2)	
HA	CY079340	Yes	4	1740	H3N2	10/20/2008	IRD:Green-Winged Teal/Avian	USA	Wisconsin	08-09	A/American green-winged teal/Wisconsin/08OS2292/2008(H3N2)	
HA	KT889241	Yes	4	1701	H3N2	01/11/2012	IRD:Human	Jordan	-N/A-	-N/A-	A/Amman/1514A01004462T/2012	
HA	KT889242	Yes	4	1701	H3N2	12/05/2011	IRD:Human	Jordan	-N/A-	-N/A-	A/Amman/1514A01004465T/2011	
HA	EU301215	No	4	1701	H3N2	2006	IRD:Aquatic Bird/Avian	South Korea	-N/A-	-N/A-	A/aquatic bird/Korea/JN-2/2006	
HA	EU301217	No	4	1702	H3N2	2005	IRD:Aquatic Bird/Avian	South Korea	-N/A-	-N/A-	A/aquatic bird/Korea/KN-2/2005	
HA	KC883413	No	4	1701	H3N2	02/17/2011	IRD:Human	USA	Arizona	10-11	A/Arizona/03/2011	
HA	KC893099	No	4	1701	H3N2	12/09/2011	IRD:Human	USA	Arizona	11-12	A/Arizona/06/2011	
HA	KC892863	No	4	1701	H3N2	04/05/2012	IRD:Human	USA	Arizona	11-12	A/Arizona/07/2012	
HA	GQ385835	No	4	1701	H3N2	02/27/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/08/2009	
HA	KM064201	No	4	1701	H3N2	10/31/2013	IRD:Human	USA	Arizona	13-14	A/Arizona/08/2013	
HA	EU516202	No	4	1701	H3N2	12/23/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/09/2007	
HA	KF790275	No	4	1701	H3N2	10/22/2012	IRD:Human	USA	Arizona	12-13	A/Arizona/09/2012	
HA	KF790270	No	4	1701	H3N2	10/22/2012	IRD:Human	USA	Arizona	12-13	A/Arizona/09/2012	
HA	EU516208	No	4	1701	H3N2	12/14/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/10/2007	
HA	GQ385909	No	4	1701	H3N2	02/25/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/11/2009	
HA	KC882759	No	4	1701	H3N2	09/24/2010	IRD:Human	USA	Arizona	-N/A-	A/Arizona/11/2010	
HA	KF790514	No	4	1701	H3N2	12/12/2012	IRD:Human	USA	Arizona	12-13	A/Arizona/11/2012	
HA	EU516215	No	4	1701	H3N2	12/27/2007	IRD:Human	USA	Arizona	07-08	A/Arizona/12/2007	
HA	KC882781	No	4	1701	H3N2	11/09/2010	IRD:Human	USA	Arizona	10-11	A/Arizona/12/2010	
HA	KC882493	No	4	1701	H3N2	12/06/2010	IRD:Human	USA	Arizona	10-11	A/Arizona/13/2010	
HA	KM064402	No	4	1701	H3N2	11/20/2013	IRD:Human	USA	Arizona	13-14	A/Arizona/16/2013	
HA	KM064413	No	4	1701	H3N2	12/02/2013	IRD:Human	USA	Arizona	13-14	A/Arizona/17/2013	
HA	KM064400	No	4	1701	H3N2	12/02/2013	IRD:Human	USA	Arizona	13-14	A/Arizona/17/2013	
HA	MH540421	Yes	4	1737	H3N2	11/24/2014	IRD:Human	USA	Arizona	14-15	A/Arizona/24/2014	
HA	CY141180	No	4	1701	H3N2	01/03/2013	IRD:Human	USA	Arizona	12-13	A/Arizona/3165/2013	
HA	CY193641	No	4	1701	H3N2	12/31/2014	IRD:Human	USA	Arizona	14-15	A/Arizona/4388/2014	
HA	KC513483	No	4	1759	H3N2	03/24/2012	IRD:Human	USA	Arizona	11-12	A/Arizona/M10/2012	
HA	KC513484	No	4	1762	H3N2	03/27/2012	IRD:Human	USA	Arizona	11-12	A/Arizona/M11/2012	
HA	KC513479	No	4	1762	H3N2	03/31/2012	IRD:Human	USA	Arizona	11-12	A/Arizona/M12/2012	
HA	KC513482	No	4	1762	H3N2	04/03/2012	IRD:Human	USA	Arizona	11-12	A/Arizona/M14/2012	
HA	KC513477	No	4	1762	H3N2	04/09/2012	IRD:Human	USA	Arizona	11-12	A/Arizona/M18/2012	
HA	KF886321	No	4	1701	H3N2	01/06/2013	IRD:Human	USA	Arizona	12-13	A/Arizona/NHRC394047/2013	
HA	CY093359	Yes	4	1731	H3N2	03/01/2009	IRD:Human	USA	Arizona	08-09	A/Arizona/WRAIR1562P/2009(H3N2)	
HA	KC892818	No	4	1701	H3N2	01/11/2012	IRD:Human	USA	Arkansas	11-12	A/Arkansas/01/2012	
HA	KT837259	Yes	4	1701	H3N2	09/17/2014	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/01/2014	
HA	EU567004	No	4	1701	H3N2	01/04/2008	IRD:Human	USA	Arkansas	07-08	A/Arkansas/02/2008	
HA	KC882589	No	4	1701	H3N2	01/06/2011	IRD:Human	USA	Arkansas	10-11	A/Arkansas/02/2011	
HA	KT837176	Yes	4	1701	H3N2	09/17/2014	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/02/2014	
HA	KC883252	No	4	1701	H3N2	11/22/2010	IRD:Human	USA	Arkansas	10-11	A/Arkansas/03/2010	
HA	KF790148	No	4	1701	H3N2	07/26/2013	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/03/2013	
HA	KY089907	No	4	1701	H3N2	09/19/2014	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/03/2014	
HA	EU567010	No	4	1701	H3N2	01/14/2008	IRD:Human	USA	Arkansas	07-08	A/Arkansas/04/2008	
HA	KC892263	No	4	1701	H3N2	10/07/2011	IRD:Human	USA	Arkansas	11-12	A/Arkansas/04/2011	
HA	KF789975	No	4	1701	H3N2	07/29/2013	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/04/2013	
HA	KT837178	Yes	4	1701	H3N2	09/22/2014	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/04/2014	
HA	EU885512	No	4	1701	H3N2	03/02/2008	IRD:Human	USA	Arkansas	07-08	A/Arkansas/05/2008	
HA	KC892423	No	4	1701	H3N2	12/05/2011	IRD:Human	USA	Arkansas	11-12	A/Arkansas/05/2011	
HA	KF789877	No	4	1701	H3N2	12/19/2012	IRD:Human	USA	Arkansas	12-13	A/Arkansas/05/2012	
HA	KT837273	Yes	4	1701	H3N2	09/24/2014	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/05/2014	
HA	KF789970	No	4	1701	H3N2	07/26/2013	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/06/2013	
HA	KT837286	Yes	4	1701	H3N2	09/24/2014	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/06/2014	
HA	KF790136	No	4	1701	H3N2	07/29/2013	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/07/2013	
HA	KT837311	Yes	4	1701	H3N2	09/29/2014	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/07/2014	
HA	KT838222	Yes	4	1701	H3N2	10/01/2014	IRD:Human	USA	Arkansas	14-15	A/Arkansas/08/2014	
HA	KT838138	Yes	4	1701	H3N2	10/20/2014	IRD:Human	USA	Arkansas	14-15	A/Arkansas/10/2014	
HA	KT837951	Yes	4	1701	H3N2	10/20/2014	IRD:Human	USA	Arkansas	14-15	A/Arkansas/11/2014	
HA	KT837993	Yes	4	1701	H3N2	10/21/2014	IRD:Human	USA	Arkansas	14-15	A/Arkansas/12/2014	
HA	KF790144	Yes	4	1701	H3N2	08/15/2013	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/13/2013	
HA	KM064435	Yes	4	1701	H3N2	08/15/2013	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/13/2013	
HA	KT837413	Yes	4	1701	H3N2	10/28/2014	IRD:Human	USA	Arkansas	14-15	A/Arkansas/13/2014	
HA	KT840114	Yes	4	1701	H3N2	12/08/2014	IRD:Human	USA	Arkansas	14-15	A/Arkansas/14/2014	
HA	KT839861	Yes	4	1701	H3N2	12/09/2014	IRD:Human	USA	Arkansas	14-15	A/Arkansas/15/2014	
HA	KY090262	No	4	1701	H3N2	12/09/2014	IRD:Human	USA	Arkansas	14-15	A/Arkansas/16/2014	
HA	CY093295	No	4	1731	H3N2	02/01/2009	IRD:Human	USA	Arkansas	-N/A-	A/Arkansas/WRAIR1251P/2009(H3N2)	
HA	KY925762	Yes	4	1762	H3N2	07/03/2013	IRD:Human	Brazil	-N/A-	-N/A-	A/Arvorezinha/LACENRS-2055/2013	
HA	CY002954	Yes	4	1742	H3N2	10/12/2004	IRD:Human	New Zealand	-N/A-	-N/A-	A/Ashburton/280/2004	
HA	CY114553	No	4	1735	H3N2	12/06/2011	IRD:Human	Russia	-N/A-	11-12	A/Astrakhan/RII65/2011	
HA	KM821323	No	4	1739	H3N2	2003	IRD:Human	New Zealand	-N/A-	-N/A-	A/AUCKLAND/20/2003	
HA	CY025018	Yes	4	1714	H3N2	02/12/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/583/2000	
HA	CY022501	Yes	4	1723	H3N2	09/25/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/588/2000	
HA	CY023002	Yes	4	1721	H3N2	09/28/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/589/2000	
HA	CY022517	Yes	4	1723	H3N2	10/09/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/593/2000	
HA	CY023026	Yes	4	1720	H3N2	10/30/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/596/2000	
HA	CY025042	Yes	4	1722	H3N2	10/09/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/598/2000	
HA	CY023034	Yes	4	1718	H3N2	09/22/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/599/2000	
HA	CY023042	Yes	4	1727	H3N2	05/06/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/600/2000	
HA	CY023050	Yes	4	1720	H3N2	09/11/2000	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/601/2000	
HA	CY022525	Yes	4	1722	H3N2	08/19/2001	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/602/2001	
HA	CY023058	Yes	4	1724	H3N2	10/02/2001	IRD:Human	New Zealand	-N/A-	-N/A-	A/Auckland/603/2001	
